year,New Haven (MMTCO2e),Hartford (MMTCO2e),Bridgeport (MMTCO2e)
1990-01-01,0.08567657598036015,0.2099561506008086,0.07068382462472309
1991-01-01,0.08614929813441383,0.2111145876955821,0.07107382398512015
1992-01-01,0.08628054510621067,0.21143621713351385,0.0711821037317237
1993-01-01,0.086501767755516,0.21197833795641538,0.0713646140943005
1994-01-01,0.08706146527961178,0.21334991398306347,0.07182636879426829
1995-01-01,0.08708257914729783,0.2134016549208044,0.07184378789515547
1996-01-01,0.08760135268782453,0.21467294400251918,0.07227177999846901
1997-01-01,0.08774284817440028,0.21501968810788172,0.0723885148474504
1998-01-01,0.08835397631801493,0.21651729828999922,0.07289270019837284
1999-01-01,0.08929274000173093,0.2188178011649277,0.07366718735340401
2000-01-01,0.08996185525721422,0.22045751262330518,0.07421921251116882
2001-01-01,0.09012567549951768,0.22085896502813063,0.07435436545285047
2002-01-01,0.09100321822165613,0.22300944186289792,0.07507834485051636
2003-01-01,0.09187509350684432,0.22514603026629137,0.07579764856973828
2004-01-01,0.09238445441621378,0.22639425306901229,0.07621787518099796
2005-01-01,0.09227159362004768,0.22611768017793168,0.07612476416865967
2006-01-01,0.09274850829730101,0.22728639132978828,0.07651822239247638
2007-01-01,0.09280607570445298,0.22742746409171177,0.07656571593974609
2008-01-01,0.09288351042869894,0.22761722303620138,0.0766296001742155
2009-01-01,0.09310556314004885,0.22816137798137784,0.07681279534427106
2010-01-01,0.09355951002978492,0.22927380504158204,0.07718730496928687
2011-01-01,0.09329666258573448,0.22862967988932642,0.07697045383552335
2012-01-01,0.09370275407356195,0.22962483410272022,0.07730548239121364
2013-01-01,0.09370015418083476,0.22961846289258803,0.07730333746000614
2014-01-01,0.09401703736892347,0.23039500623130024,0.07756476849220005
2015-01-01,0.09409605579242047,0.23058864613618837,0.07762995929055624
2016-01-01,0.09395107625538117,0.23023336413332635,0.0775103500735328
2017-01-01,0.09394443646182882,0.23021709287739575,0.07750487219352152
2018-01-01,0.09403598242971438,0.23044143236342612,0.07758039831095888
2019-01-01,0.09352310316815043,0.22918458760453153,0.07715726903246911
2020-01-01,0.09329654716501416,0.22862939704317084,0.07697035861255418
2021-01-01,0.09285714285714282,0.22755260754753057,0.07660784672781167
