,Area,UA,UC,RA
0,New Haven,0.24962843455379602,0.0,0.055830486857135445
1,Hartford,0.3572950893609007,0.3408770323865902,0.28484923478113355
2,Bridgeport,0.2537949584170893,0.0,0.06358818851717468
