,p,d,q,MAPE,MAE,RMSE
0,0,0,0,26.52099368907177,2.7072763129196518,2.791602804633063
1,0,0,1,25.442430351406077,2.598472018654293,2.6960356032866515
2,0,0,2,24.181654686943528,2.4721846942103536,2.592813570258034
3,0,0,3,23.048351965217137,2.354093262702105,2.4906472975786254
4,0,0,4,485668.6078900515,34354.81628932206,74243.90706773718
5,0,0,5,21.02022666777749,2.1545584028676927,2.317946891889773
6,0,0,6,20.01694127932873,2.0444182861765783,2.205369787575107
7,0,0,7,19.15336161219719,1.9556403552492736,2.1387958313258335
8,0,0,8,39.48647643001136,4.056629087928623,5.0033675456808595
9,0,0,9,21.60245841837535,2.228654459840176,2.425539608613123
10,0,1,0,10.57860753769677,1.0363761587123388,1.2036367713328244
11,0,1,1,10.80647142141968,1.0551364600416293,1.2164686985442923
12,0,1,2,10.551691569131442,1.0298517694611753,1.1903688489121307
13,0,1,3,10.499337473775876,1.0247097506653733,1.1849771526213118
14,0,1,4,822930193497.8961,70130523962.67442,70816695008.78758
15,0,1,5,10.097998778135988,0.9869282620113657,1.1462099375473027
16,0,1,6,10.048427521045237,0.9776859083203511,1.139264689442402
17,0,1,7,511740772.03682226,55198275.01733611,56167101.71333162
18,0,1,8,17183957.814876437,1873368.7803720664,2031338.936014854
19,0,1,9,4670.052290046484,500.3365568170914,544.3220555103688
20,0,2,0,12.331436341945393,1.2156774087380475,1.3726095486149725
21,0,2,1,9.167122155856903,0.9123142928796764,1.085707374304051
22,0,2,2,9.6639632002699,0.9595556918635002,1.1425382293695963
23,0,2,3,9.479284320253129,0.9378032153830879,1.1154301637686785
24,0,2,4,1349.7585240814406,122.67939533200415,152.15564408587656
25,0,2,5,9.078313107176262,0.8940053339332152,1.0527398107903696
26,0,2,6,9.270466299650122,0.9130417533431916,1.0797944280743785
27,0,2,7,1316726479938.4753,142158294707.42422,144700394354.85803
28,0,2,8,444.62837423900095,48.45522177260538,53.44916521923662
29,0,2,9,14.449947519324482,1.4144053670344796,1.6466177246604794
30,1,0,0,9.213004705388405,0.9002890719466773,1.0448334623278945
31,1,0,1,9.775909109110033,0.9546234568267259,1.1028187985091629
32,1,0,2,9.709862774098559,0.9457466226282595,1.0952008838595784
33,1,0,3,9.642260879210642,0.936853542935253,1.0854277908271517
34,1,0,4,9.983179995108253,0.970348688390605,1.118678168052553
35,1,0,5,10.43274434593045,1.0312690362975108,1.1817221541510148
36,1,0,6,9.133536042003271,0.8988166416333674,1.0425550296443442
37,1,0,7,9.572299601981607,0.9476230554488544,1.1649596112349336
38,1,0,8,8.591424899430534,0.8193538682296123,0.9750823563997916
39,1,0,9,15101.815976956612,1641.3757920111357,1888.4812446333547
40,1,1,0,10.516684934828058,1.02730314067032,1.1855338012224708
41,1,1,1,10.829794266775325,1.0771223916965045,1.2373186378872265
42,1,1,2,11.027803744668233,1.0918290549011684,1.2555541384388291
43,1,1,3,9.752204526956131,0.9502491529095679,1.1006082853975856
44,1,1,4,71.74506480161581,6.25172020529206,6.399337918718903
45,1,1,5,10.137263732089833,0.9887677896384378,1.145152962671645
46,1,1,6,11.09560629875241,1.098275902773387,1.2768020906732562
47,1,1,7,631355043.3771464,67885105.2539171,69978560.89178412
48,1,1,8,79.05061966344543,8.334425025917449,9.38094383809144
49,1,1,9,10.210107256800326,0.9979684230886322,1.1585081943457907
50,1,2,0,7.380601063251997,0.7108518991258728,0.8289987201938277
51,1,2,1,9.427386172055364,0.9365969331597427,1.1165827638868027
52,1,2,2,9.624604488652233,0.9571366265555804,1.1378883386022112
53,1,2,3,31420752437.341522,2998171612.7937617,8067978289.184593
54,1,2,4,10.362985050225406,1.0251004363175953,1.210097781154663
55,1,2,5,9.138313101014852,0.9096284828247924,1.0847161248077601
56,1,2,6,9.298390708226593,0.9155730099705327,1.0804997057765404
57,1,2,7,77603.10181410513,8485.3573574733,9454.440430056942
58,1,2,8,5280.514003027277,583.2563604491392,746.9178366008797
59,1,2,9,16.446103289281623,1.6090817952105976,2.3596891038085706
60,2,0,0,9.707850179709833,0.949091333014549,1.0975970255506906
61,2,0,1,10.193267755770655,0.9995641753335339,1.1468004845370652
62,2,0,2,9.982086550794948,0.9741633865772549,1.1214319281573588
63,2,0,3,6.862982137812016,0.6949803479621327,0.8125558509295762
64,2,0,4,9.810386732062437,0.9537210072519127,1.104500797791818
65,2,0,5,8.504881365800117,0.823415450310292,0.9681003639784476
66,2,0,6,7.652410486158811,0.7456074626397927,0.8759763832459098
67,2,0,7,11.572961938687927,1.1653313630637383,1.4140531712176105
68,2,0,8,8.737670324087539,0.8372232072400805,0.9913624896935578
69,2,0,9,11.653541187012777,1.1532634069318108,1.3114948022130226
70,2,1,0,9.856972354001925,0.9634397821377284,1.116815420117366
71,2,1,1,9.27714202103937,0.9044303266413282,1.0587786036591138
72,2,1,2,9.425625491769267,0.9178948130372162,1.0721450450180152
73,2,1,3,9.666717732809525,0.9369741859021902,1.093224008535241
74,2,1,4,9.953297225280304,0.9514781770534078,1.101650264144634
75,2,1,5,9.052982724187729,0.8726044232598117,1.0403554245895779
76,2,1,6,12.823917917994601,1.2723589405693823,1.473387822283444
77,2,1,7,8.403260601194843,0.8199198856148234,0.9648762066597715
78,2,1,8,17.742143108274444,1.8120640194498094,2.53398779373075
79,2,1,9,12.327013651909246,1.2339205452418944,1.4159643841545106
80,2,2,0,8.22775960677217,0.7887242178120912,0.9069383645591418
81,2,2,1,9.928509302301576,0.9758491224376383,1.1534377931796993
82,2,2,2,13.635402656600972,1.3169039055101857,1.5374938811342336
83,2,2,3,16482.51924787401,1558.0163158035878,3087.508447282726
84,2,2,4,10.913054714681323,1.0752454104529316,1.2740854949935625
85,2,2,5,9.579638025750901,0.949218215237767,1.1340382220274556
86,2,2,6,11.029384876551779,1.0719807470696756,1.2550898150265297
87,2,2,7,103798452499.90837,11184874797.448387,11338733050.483255
88,2,2,8,911222.0938529043,101953.57310432114,186417.39713604283
89,2,2,9,11.44628253594311,1.1429205317780498,1.51212260136083
90,3,0,0,9.481543541128872,0.9252395899312854,1.074241433050824
91,3,0,1,9.561719515617163,0.9317545350648521,1.0810976176571463
92,3,0,2,11.28547284030225,1.1276868950651149,1.2989507133329712
93,3,0,3,6.453645888599504,0.6338881526920583,0.7496438331188836
94,3,0,4,8.600447523408839,0.8266651313960925,0.9552667125387759
95,3,0,5,8.535519757079015,0.8192213019291786,0.9590958445566758
96,3,0,6,10.490302809367067,1.0510311085649875,1.2142849722806506
97,3,0,7,11.196207603910407,1.136818479960384,1.3694046921861271
98,3,0,8,9.599483468145227,0.9410556363231497,1.110709482503304
99,3,0,9,9.7910498708602,0.9555800170474789,1.1194257710540532
100,3,1,0,9.92398342204511,0.9684876403509312,1.1190440818386396
101,3,1,1,10.947684391181935,1.0862150722220434,1.2532188197888243
102,3,1,2,9.186101797408382,0.8931784399429229,1.053139876877938
103,3,1,3,15.011296026291218,1.4357624787780903,2.2257275504938465
104,3,1,4,9.150829306442548,0.8826720219488854,1.0363286505716498
105,3,1,5,11.60385029812605,1.1483534904778276,1.3063312249248145
106,3,1,6,12.476197545575936,1.2369387438620603,1.4056356739209024
107,3,1,7,9.534397728581308,0.9265914953149847,1.0793836140328723
108,3,1,8,204.6247593063932,22.494614086858235,29.001383512992813
109,3,1,9,12.604026063000632,1.2569933593064733,1.4395405235724554
110,3,2,0,7.973941140290975,0.7661823773080133,0.8756909515497232
111,3,2,1,8.011223354127564,0.7690520444549946,0.8773264094146883
112,3,2,2,10.284399597551417,1.0111661245083159,1.1963742003385767
113,3,2,3,11.073926832881932,1.0875204913042145,1.2817294321837378
114,3,2,4,10.346036288592037,1.023281957983017,1.2139130016490534
115,3,2,5,10.55855631368045,1.045008889811995,1.2512996051341416
116,3,2,6,6.71104192812833e+25,7.489776774449752e+24,2.3762774777252624e+25
117,3,2,7,2606327542.965024,280664794.66929924,294156534.4791108
118,3,2,8,78.84339815092646,7.5033847441076205,13.651784914242638
119,3,2,9,20.036762709849167,1.9555953860093978,2.932563139221379
120,4,0,0,9.575634081410355,0.9305695698329322,1.0797553316935622
121,4,0,1,11.394980959875804,1.1272221389480104,1.2855364776080047
122,4,0,2,12.072509407217902,1.206083819313681,1.4083969387403978
123,4,0,3,9.768890218071428,0.947048316544143,1.097372341095334
124,4,0,4,10.752566660211796,1.0622083031513927,1.2156103787494903
125,4,0,5,10.918977761699146,1.0817203312736894,1.2386800908772275
126,4,0,6,9.3730403898414,0.9145808590077479,1.061317770362628
127,4,0,7,12.700158773333257,1.3018804253158693,1.5624999625583964
128,4,0,8,11.128823727107026,1.1230289415771344,1.318657957676007
129,4,0,9,54.215129526809015,5.153035470027712,9.250024541260478
130,4,1,0,9.707117098594166,0.9461232439887874,1.0953526451354334
131,4,1,1,9.610027036131314,0.9375621028267257,1.086119579878893
132,4,1,2,10.575324472695051,1.0424879933014095,1.2089177068164447
133,4,1,3,11.152881975037479,1.1015081662139938,1.2656410129560345
134,4,1,4,9.201763102565138,0.889476390798169,1.0410402652754007
135,4,1,5,9.369117626371168,0.9089589148566762,1.0617087895307558
136,4,1,6,11.351109637765061,1.1158366800855457,1.2810960896026544
137,4,1,7,9.603162139002704,0.9310880499396496,1.0937450225619338
138,4,1,8,8.468494185714102,0.8264339976139347,0.9919125541596383
139,4,1,9,13.583804101888449,1.3519701842926326,1.762558436051896
140,4,2,0,8.719003919581334,0.8328006971099345,0.9480365893515588
141,4,2,1,10.480667389535046,1.0226059983927038,1.206397078426918
