,MSA,GHG Emissions (MMTCO2e),Solid waste combustion (MMTCO2e),Landfill methane (MMTCO2e)
0,New Haven-Milford,0.0,0.0,0.0
1,Hartford-east Hartford-Middletown,0.3849625614197032,0.2955230090231463,0.0894395523965569
2,Bridgeport-Stamford-Norwalk,0.29667273315948584,0.29667273315948584,0.0
