,Deciduous forest (hectare),Coniferous forest (hectare),Forested wetland (hectare),Deciduous forest sequestration (MTCO2e),Coniferous forest sequestration (MTCO2e),Forested wetland sequestration (MTCO2e),Total carbon sequestration (MMTCO2e)
NHM,66913.05753,5263.04256,4614.51081,547125.7670703001,43034.1446656,37731.3167231,0.6278912284590001
HEM,192046.17612000002,35299.674210000005,15264.8793,1570297.5667412002,288633.66945710004,124815.829743,1.9837470659413003
BSN,77905.96410000001,7405.96953,4850.93655,637011.099791,60556.1441903,39664.4911905,0.7372317351718
