,GHG emissions (MMTCO2e),CO2 emissions (MMTCO2e),CH4 emissions (MMTCO2e),N2O emissions (MMTCO2e)
New Haven-Milford,1.3610208392503595,1.358260959754937,0.0008322239591222479,0.0019276555363001988
Hartford-east Hartford-Middletown,2.0643536530407496,2.059984813181376,0.0013182451712706238,0.0030505946881026853
Bridgeport-Stamford-Norwalk,1.4921420200321367,1.48901847735524,0.0009423994699315539,0.0021811432069654556
