,MSA,GHG Emissions (MMTCO2e),Ratio
0,New Haven-Milford,0.09285714285714286,0.09285714285714286
1,Hartford-East Hartford-Middletown,0.24224096670657447,0.2275526075475306
2,Bridgeport-Stamford-Norwalk,0.0840189231644447,0.07660784672781168
