,MSA,Manure fertilizer land area (acres),Organic fertilizer land area (acres),Synthetic fertilizer land area (acres),Manure fertilizer,Organic fertilizer,Synthetic fertilizer,Manure fertilizer emissions (MMTCO2e),Organic fertilizer emissions (MMTCO2e),Synthetic fertilizer emissions (MMTCO2e),GHG Emissions (MMTCO2e)
0,New Haven-Milford,1125,173,3764,10.378228782287822,11.809963099630995,3472.324723247232,8.684224679000986e-05,9.882261719161833e-05,0.02905548594823085,0.029241150812212485
1,Hartford-East Hartford-Middletown,8267,592,21497,76.26383763837639,40.413284132841326,19831.180811808117,0.0006381554259671214,0.0003381675686557113,0.16594202482176373,0.17402618258015112
2,Bridgeport-Stamford-Norwalk,288,188,1793,2.6568265682656826,12.833948339483394,1654.0590405904059,2.2231615178242526e-05,0.00010739105220823264,0.013840724310621126,0.014857409598744549
