,MSA,GHG Emissions(MMTCO2e),CO2 Emissions(MMTCO2e),CH4 Emissions (TMTCO2e),N2O Emissions(TMTCO2e),emissions per capita (MTCO2e),Gasoline Emissions (MMTCO2e),Diesel Emissions (MMTCO2e),Automobile (MMTCO2e),Motorcycle (MMTCO2e),Buses (MMTCO2e),Trucks (MMTCO2e)
0,New Haven Area,2.8753893201331833,2.8676817329649404,0.6612964916779925,7.046290676565023,3.3251066724793414,1.0591687108524914,1.8085631192428426,1.0288993020122097,0.03664317232391092,0.020234237686854697,1.7896126081102077
1,Hartford Area,4.355344299960933,4.343669638862134,1.001663978316683,10.67299712048171,3.5155270694049285,1.6043199351156734,2.7394255857321728,1.5584709447432659,0.05550331240224523,0.030648744208806963,2.7107212986066136
2,Bridgeport Area,2.968948985568618,2.9609906082650266,0.6828138138999982,7.275563489691318,3.01005428691067,1.0936320336217538,1.8674103018384112,1.062377716148684,0.037835471022077904,0.020892621056045026,1.8478431773418107
