,p,d,q,MAPE,MAE,RMSE,BIC,AIC
175,5,2,5,29.267589213346024,2.4839285989039035,3.272937867260427,19.295587164421217,10.132250937235801
176,5,2,6,79.68196990250595,8.550374630467616,10.193138312414604,14.483685750601513,5.6209647810703105
177,5,2,7,18.88437218378519,1.8248575994786413,2.4005428297992664,18.872318676290977,10.834011213065542
178,5,2,8,16.15695167197416,1.5590492423312123,2.0252023418464664,20.936585787963253,14.804175602019495
179,5,2,9,266177.6349405182,29321.07539,37818.931757535654,#NAME?,16.60029073316884
180,6,0,0,31.70415800309985,2.8487153559875256,4.359995785743107,-11.72884016,-19.58810525
181,6,0,1,36.36537494524465,3.2946007863324716,5.0378883849026534,-0.9872151,-9.828888325
182,6,0,2,44.46272642046415,4.111744448893246,6.162400961662287,7.054484570171496,-2.769596791
183,6,0,3,11087.563513073728,1156.8790006433242,2749.9190585969836,48.673941478888125,37.86745198194639
184,6,0,4,37.271027236837725,3.5457857166523907,5.039844186299618,15.113753168966323,3.3248555359389798
185,6,0,5,30.74538223368308,2.914155079646678,4.064048941948139,15.194009690362403,2.422703921249448
186,6,0,6,42.40900615139299,4.0932305727591904,5.858188855065945,16.096904368139057,3.3196715711879357
187,6,0,7,33.26452713,3.187577654023017,4.554325646192845,1843.5264834608588,1831.031024969243
188,6,0,8,72.34501769065312,6.501076423303763,9.460835573894169,19.81261422344662,7.9956529307383475
189,6,0,9,29.393599464081785,2.8701335375054873,3.861257013480034,25.01437632970741,14.502743493181844
190,6,1,0,9.548879616927234,0.8745075933534936,1.0816113512410968,-5.758462745,-12.14707914
191,6,1,1,11.840671140460792,1.101874923520146,1.364367389851386,3.055050649,-4.246225235
192,6,1,2,26.589095950535942,2.521034881494114,3.4507929480800024,6.752477523,-1.461457846
193,6,1,3,9.767575945560527,0.8926094206005523,1.111673272113261,13.449554305353184,4.3229594503880975
194,6,1,4,23.521803554107244,2.2192182319275955,2.991557055827421,571160217.3410208,571160207.3017665
195,6,1,5,38.892990358930476,3.703655737,5.335995129044542,11.991254777833909,1.0393409518758077
196,6,1,6,28.808598141666874,2.7693445049683794,3.9099900729495944,18.520854543277906,7.691457183876959
197,6,1,7,34.33526228368122,3.311198108191674,4.732468253391554,16.763114154065896,6.423273023
198,6,1,8,39.58303784402609,3.8106039200380986,5.505911983,16.91882207186391,7.643851922
