,BSN,HEM,NHM
Natural gas,0.5687647683790448,0.773232810820626,0.54377418482546
Propane,0.07712902548317171,0.11095805537758717,0.05727633115303934
Fuel oil,0.8462482261699205,1.1801627868425364,0.75997032327186
Total (MMTCO2e),1.492142020032137,2.0643536530407496,1.3610208392503593
