,Year,Connecticut,"Bridgeport-Stamford-Norwalk, CT Metro Area","Hartford-East Hartford-Middletown, CT Metro Area","New Haven-Milford, CT Metro Area"
0,2021,"3,605,330","956,446","1,213,324","864,751"
1,2020,"3,570,549","944,306","1,205,842","855,733"
2,2017,"3,594,478","947,328","1,213,123","862,127"
3,2015,"3,593,222","939,983","1,214,056","862,224"
