,Town,County,Unnamed: 1,developed,turf & grass,other grass,ag field,deciduous forest,coniferous forest,water,non-forested wetland,forested wetland,tidal wetland,barren,utility row
106,Orange,New Haven,2015,3817.9,2428.4,191.2,273.9,3171.1,603.1,201.0,6.0,345.4,0.0,51.0,46.9
107,Oxford,New Haven,2015,3240.4,1309.3,478.5,789.4,13103.2,1084.9,488.3,29.4,565.4,0.0,89.1,153.8
108,Plainfield,Windham,2015,4081.8,1721.4,840.8,3289.4,12989.6,1558.1,401.6,306.7,1778.3,0.0,502.4,89.4
109,Plainville,Hartford,2015,2889.0,599.7,283.4,39.3,1720.6,58.7,64.1,23.0,281.2,0.0,340.6,9.2
110,Plymouth,Litchfield,2015,2356.9,1119.8,160.3,575.0,8499.2,822.7,389.8,11.7,211.7,0.0,78.5,59.5
111,Pomfret,Windham,2015,1894.9,982.7,297.9,4537.8,14817.6,1454.2,376.6,273.9,1213.6,0.0,26.0,92.8
112,Portland,Middlesex,2015,2198.5,1269.5,328.0,952.7,8134.0,746.2,1084.2,60.3,827.6,0.0,125.0,127.4
113,Preston,New London,2015,1967.6,1064.6,353.0,3186.7,10255.2,933.8,693.4,106.8,1600.7,20.2,75.8,58.8
114,Prospect,New Haven,2015,1759.3,660.7,234.3,120.5,5695.0,171.2,204.3,3.7,262.9,0.0,102.2,24.3
115,Putnam,Windham,2015,2425.2,750.2,520.8,945.9,5272.9,1496.6,219.5,219.1,755.9,0.0,321.0,116.6
116,Redding,Fairfield,2015,2464.4,1594.4,228.9,601.9,13489.5,784.6,458.5,42.0,723.9,0.0,5.5,102.9
117,Ridgefield,Fairfield,2015,5092.8,2785.1,231.2,285.8,11431.6,434.9,486.4,70.9,1438.9,0.0,22.9,29.9
118,Rocky Hill,Hartford,2015,3026.3,1652.3,295.6,1311.9,1554.4,291.2,283.0,7.4,244.7,0.0,153.7,14.5
119,Roxbury,Litchfield,2015,1155.6,463.7,198.2,2382.2,11081.3,1045.0,183.2,30.5,248.3,0.0,7.3,27.8
120,Salem,New London,2015,1592.1,798.5,273.5,1541.0,12510.1,414.9,600.8,66.8,1099.7,0.0,103.1,0.0
121,Salisbury,Litchfield,2015,2861.3,1731.0,371.5,6428.6,14422.6,9364.1,2202.7,222.2,850.9,0.0,18.5,40.9
122,Scotland,Windham,2015,710.9,312.1,143.0,2056.0,7599.7,623.0,56.3,54.9,407.9,0.0,28.4,5.5
123,Seymour,New Haven,2015,2683.6,1021.8,169.4,201.8,4492.3,471.3,318.2,8.0,91.4,0.0,107.3,0.0
124,Sharon,Litchfield,2015,2377.3,982.1,588.8,6561.0,22783.7,2528.0,859.8,386.0,1126.6,0.0,10.0,5.7
125,Shelton,Fairfield,2015,6678.6,2781.2,259.8,890.7,7850.5,379.3,938.5,24.9,380.0,1.8,148.6,73.3
126,Sherman,Fairfield,2015,1422.0,699.3,102.9,1279.0,9079.4,864.3,1159.1,4.4,355.1,0.0,4.1,1.8
127,Simsbury,Hartford,2015,4390.1,2460.2,570.9,1745.8,6448.8,4715.5,322.2,80.6,1010.7,0.0,88.3,137.1
128,Somers,Tolland,2015,2527.8,1827.4,566.0,4029.2,6825.9,1405.1,111.6,15.2,898.0,0.0,85.1,32.5
129,South Windsor,Hartford,2015,5196.9,2543.0,1178.6,3109.0,4437.2,307.3,487.9,77.6,676.4,0.0,198.1,155.9
130,Southbury,New Haven,2015,4214.4,1946.1,422.1,2022.4,14066.4,1679.7,734.8,14.0,378.1,0.0,58.9,65.2
131,Southington,Hartford,2015,7399.8,3616.7,637.1,1055.4,7806.2,951.9,585.6,65.1,748.3,0.0,327.6,183.1
132,Sprague,New London,2015,854.9,463.0,212.8,901.6,5248.6,493.5,357.6,38.1,212.1,0.0,48.8,9.9
133,Stafford,Tolland,2015,3613.9,1246.8,550.3,1336.7,21640.1,6590.5,796.5,112.4,1446.2,0.0,238.1,11.7
134,Stamford,Fairfield,2015,11068.1,3886.8,171.4,129.8,7574.1,401.0,677.7,15.2,492.4,6.5,168.1,0.0
135,Sterling,Windham,2015,1335.7,591.9,429.5,1724.7,10716.5,1586.8,94.4,73.1,698.1,0.0,217.1,10.3
136,Stonington,New London,2015,4809.9,2434.8,662.2,2062.7,11261.1,220.2,593.6,182.1,1682.4,800.4,149.5,190.3
137,Stratford,Fairfield,2015,6609.9,1434.6,216.9,16.5,1518.5,91.0,512.8,16.4,173.9,673.3,246.5,53.6
138,Suffield,Hartford,2015,2974.9,2345.3,1494.5,8319.9,8622.8,1088.7,638.9,56.5,1863.1,0.0,95.8,53.3
139,Thomaston,Litchfield,2015,1715.2,637.5,185.7,221.5,3743.5,864.0,208.4,8.9,42.1,0.0,76.1,72.0
140,Thompson,Windham,2015,3425.6,1622.7,591.6,2455.3,14691.6,4113.6,1318.0,507.0,2195.4,0.0,156.3,81.4
141,Tolland,Tolland,2015,3669.1,1647.1,400.5,991.4,16206.8,986.9,642.7,95.1,979.2,0.0,81.3,37.5
142,Torrington,Litchfield,2015,5883.2,1610.7,354.9,1563.9,8598.4,6091.2,433.7,152.4,777.4,0.0,200.8,127.0
143,Trumbull,Fairfield,2015,6707.0,3007.6,132.9,28.6,4569.9,227.5,198.5,2.1,137.9,0.0,74.9,12.0
144,Union,Tolland,2015,1146.6,232.8,113.3,509.0,4530.7,11044.3,912.7,65.2,477.6,0.0,34.2,0.0
145,Vernon,Tolland,2015,4288.6,1460.4,239.8,277.6,4320.1,371.9,288.0,52.6,169.0,0.0,105.5,24.1
146,Voluntown,New London,2015,1485.6,518.1,427.3,1261.9,12615.0,5954.8,602.2,427.4,2106.2,0.0,56.4,2.0
147,Wallingford,New Haven,2015,7984.5,4695.1,957.4,2740.9,7091.3,720.2,533.6,101.0,634.5,0.0,219.9,143.0
148,Warren,Litchfield,2015,1050.9,312.1,97.8,1422.1,11182.5,1886.1,909.7,123.0,604.6,0.0,8.4,0.0
149,Washington,Litchfield,2015,2167.8,973.1,328.4,4333.8,14341.0,1308.2,652.0,26.9,478.7,0.0,24.3,94.3
150,Waterbury,New Haven,2015,10341.5,1846.4,300.3,22.4,5018.4,148.8,353.1,22.5,195.6,0.0,214.5,93.9
151,Waterford,New London,2015,4855.9,1827.7,869.2,183.5,10305.6,902.6,819.2,148.3,1348.0,63.6,304.7,281.1
152,Watertown,Litchfield,2015,4141.2,2373.0,260.6,2626.9,7196.1,1350.4,464.7,41.6,273.8,0.0,82.1,149.9
153,West Hartford,Hartford,2015,6780.0,2926.7,205.7,29.4,2495.5,1305.0,353.7,15.3,149.5,0.0,29.1,45.9
154,West Haven,New Haven,2015,4720.8,853.6,63.6,0.0,824.2,53.8,141.3,1.4,46.9,147.9,151.2,2.4
155,Westbrook,Middlesex,2015,2063.3,563.5,124.0,241.5,5356.6,60.3,227.2,45.2,1030.7,410.7,141.7,44.7
156,Weston,Fairfield,2015,2587.3,1237.4,145.4,15.4,7560.8,355.1,678.7,8.5,582.3,0.0,22.0,31.8
157,Westport,Fairfield,2015,5766.2,2777.6,184.8,14.2,2475.7,774.0,286.7,21.3,282.7,175.1,151.3,7.2
158,Wethersfield,Hartford,2015,3461.7,2000.3,114.5,532.3,830.4,284.0,575.5,128.7,464.5,0.0,38.0,0.0
159,Willington,Tolland,2015,2223.3,803.1,284.2,994.2,14062.4,1689.0,350.5,85.0,685.1,0.0,285.3,4.8
160,Wilton,Fairfield,2015,4271.1,2541.3,183.0,150.4,8930.6,385.0,397.7,15.2,539.9,0.0,38.2,45.9
161,Winchester,Litchfield,2015,2599.0,780.5,254.3,837.2,7521.4,7634.6,1192.2,87.0,613.1,0.0,117.0,38.7
162,Windham,Windham,2015,3706.0,1308.0,525.7,1537.5,7565.2,1291.5,662.3,98.3,505.7,0.0,549.7,22.2
163,Windsor,Hartford,2015,6149.4,2470.1,1221.0,2163.1,5029.1,764.5,1263.6,53.5,518.3,0.0,203.5,33.1
164,Windsor Locks,Hartford,2015,3274.8,615.1,440.8,181.7,1066.9,38.3,239.4,1.1,58.0,0.0,60.2,0.0
165,Wolcott,New Haven,2015,2809.1,856.6,243.8,75.7,8030.9,401.4,495.9,11.2,385.4,0.0,85.4,144.3
166,Woodbridge,New Haven,2015,2419.3,1414.3,168.2,291.0,6713.7,414.0,254.2,63.7,421.7,0.0,17.0,106.9
167,Woodbury,Litchfield,2015,2477.2,1313.5,293.5,3233.5,13533.7,1611.7,232.3,57.5,559.9,0.0,148.2,54.0
168,Woodstock,Windham,2015,3230.1,1534.6,621.5,6438.3,13640.7,10123.5,1095.4,331.5,2431.9,0.0,47.4,0.0
