,Area,Automobile,Motorcycle,Trucks,Buses
0,New Haven Area,2806588940.3914404,208674102.07238567,3870989848.4231734,25631659.113000795
1,Hartford Area,4251132553.8696346,316078088.85105485,5863377683.671578,38824203.60773231
2,Bridgeport Area,2897909973.143155,215463957.98449835,3996944449.6267624,26465664.245584503
