,Parameters,New Haven-Milford (NHM),Hartford-East Hartford-Middletown (HEM),Bridgeport-Stamford-Norwalk (BSN),Torrington,Worcester,Norwich-New London,Statewide,GHG Emissions_NHM (MMTCO2e),GHG Emissions_HEM (MMTCO2e),GHG Emissions_BSN (MMTCO2e),GHG Emissions_Statewide (MMTCO2e)
0,Residential Electric Usage (kWh),2481066159,3549718589,3511203402,638160326,375532975,577269879,11326175232,0.6120477872397366,0.875670888436478,0.8661696766719452,2.794024844314968
1,Commercial/Industrial Electric Usage (kWh),2849324964,3707315319,3459753129,506011781,384466119,715203982,13043797421,0.7028925984166559,0.9145480177394689,0.853477542031238,3.217740615165286
2,Total (kWh),5330391123,7257033908,6970956531,1144172107,759999094,1292473861,24369972653,1.3149403856563922,1.7902189061759468,1.7196472187031833,6.011765459480254
