,MSA,County,Population,VMT (billion miles),N2O Emissions(TMTCO2e),CH4 Emissions (TMTCO2e),CO2 Emissions(MMTCO2e),GHG Emissions(MMTCO2e),VMT per capita (miles),emissions per capita (MTCO2e)
0,New Haven-Milford,New Haven,864751,6.91188455,7.046290676565023,0.6612964916779925,2.8676817329649404,2.8753893201331833,7992.918828657035,3.3251066724793414
1,Hartford-East Hartford-Middletown,"Hartford, Middlesex,Tolland",1238888,10.46941253,10.67299712048171,1.001663978316683,4.343669638862134,4.355344299960933,8450.652948450546,3.5155270694049285
2,Bridgeport-Stamford-Norwalk,Fairfield,986344,7.136784045,7.275563489691318,0.6828138138999982,2.9609906082650266,2.968948985568618,7235.593307203166,3.01005428691067
3,Total,Total,3605330,29.66631524,30.243196189330277,30.243196189330277,12.308300244703513,12.368786637082174,NA,NA
