,Utility Consumption,New Haven-Milford (NHM),Hartford-East Hartford-Middletown (HEM),Bridgeport-Stamford-Norwalk (BSN)
2022,Residential Electric Usage ( kWh),2557731589,3665798740,3397452340
2021,Residential Electric Usage ( kWh),2481066159,3549718589,3383075967
2020,Residential Electric Usage ( kWh),2511784254,3581893987,3383772071
2019,Residential Electric Usage ( kWh),2474445775,3539489822,3341655049
2018,Residential Electric Usage ( kWh),2613092333,3739883526,3410338243
2017,Residential Electric Usage ( kWh),2445003673,3483308875,3288939872
2016,Residential Electric Usage ( kWh),2548765679,3633243679,3426481392
